number,key,type,title,description,elementCount,relationshipOrStepCount,svg,png
22,C3-11-Scheduler,component,"C3.11 — Компоненти завдань, нагадувань та ескалацій","Компоненти планування завдань, нагадувань, SLA ескалації та надійних повторів.",10,14,previews/svg/C3-11-Scheduler.svg,previews/png/C3-11-Scheduler.png
23,C3-12-IntegrationGateway,component,C3.12 — Компоненти інтеграційного шлюзу,"Компоненти FHIR/DICOM-обміну, термінологій, повідомлень, календаря, телемедицини та приватності.",20,13,previews/svg/C3-12-IntegrationGateway.svg,previews/png/C3-12-IntegrationGateway.png
24,C3-13-AuditObservability,component,C3.13 — Компоненти аудиту та спостережуваності,"Компоненти незмінного аудиту, походження, безпекового моніторингу, звітності та очищеної телеметрії.",8,6,previews/svg/C3-13-AuditObservability.svg,previews/png/C3-13-AuditObservability.png
25,L4-01-AlgorithmDefinition,custom,L4.01 — Контракт визначення універсального алгоритму,Логічна структура версійованого формального визначення алгоритму.,15,19,previews/svg/L4-01-AlgorithmDefinition.svg,previews/png/L4-01-AlgorithmDefinition.png
26,L4-02-ScenarioSession,custom,L4.02 — Агрегат виконання сценарію,"Логічна структура сесії, результатів, ризиків, клінічного підтвердження й аудиту.",13,13,previews/svg/L4-02-ScenarioSession.svg,previews/png/L4-02-ScenarioSession.png
27,DYN-01-UniversalPatientScenario,dynamic,DYN.01 — Універсальний сценарій взаємодії з пацієнтом,Універсальний наскрізний процес виконання будь-якого формалізованого психіатричного сценарію.,13,12,previews/svg/DYN-01-UniversalPatientScenario.svg,previews/png/DYN-01-UniversalPatientScenario.png
28,DYN-02-OnboardingConsent,dynamic,"DYN.02 — Вхід, доступ та інформована згода","Створення профілю сесії, автентифікація, інформування та фіксація згод.",7,7,previews/svg/DYN-02-OnboardingConsent.svg,previews/png/DYN-02-OnboardingConsent.png
29,DYN-03-ComplaintsAdaptiveCommunication,dynamic,DYN.03 — Збір скарг і адаптивна комунікація,Збір скарг і потреб із адаптацією каналу та стилю без зміни клінічного змісту.,8,7,previews/svg/DYN-03-ComplaintsAdaptiveCommunication.svg,previews/png/DYN-03-ComplaintsAdaptiveCommunication.png
30,DYN-04-QuestionnaireScoring,dynamic,"DYN.04 — Опитувальник, розгалуження та обчислення балів","Внутрішній детермінований процес виконання опитувальника, розгалуження, оцінювання та формування результату.",14,13,previews/svg/DYN-04-QuestionnaireScoring.svg,previews/png/DYN-04-QuestionnaireScoring.png
31,DYN-05-RedFlagCrisis,dynamic,DYN.05 — Червоний прапорець і кризове реагування,"Негайне виявлення, ескалація, підтвердження отримання та резервний кризовий маршрут.",12,11,previews/svg/DYN-05-RedFlagCrisis.svg,previews/png/DYN-05-RedFlagCrisis.png
32,DYN-06-MultimodalMeasurement,dynamic,DYN.06 — Мультимодальне вимірювання та контроль якості,"Контрольований конвеєр ЕКГ, голосу, відео та медичних зображень.",12,14,previews/svg/DYN-06-MultimodalMeasurement.svg,previews/png/DYN-06-MultimodalMeasurement.png
33,DYN-07-SafeAIResponse,dynamic,DYN.07 — Безпечне формування відповіді ШІ,"Формування допоміжної ШІ-відповіді з мінімізацією даних, RAG, перевіркою структури та контролем людиною.",11,12,previews/svg/DYN-07-SafeAIResponse.svg,previews/png/DYN-07-SafeAIResponse.png
34,DYN-08-ClinicianReviewTrajectory,dynamic,DYN.08 — Клінічний перегляд і траєкторія пацієнта,"Огляд медичним працівником, пояснення, коригування та підтвердження траєкторії.",8,7,previews/svg/DYN-08-ClinicianReviewTrajectory.svg,previews/png/DYN-08-ClinicianReviewTrajectory.png
35,DYN-09-VisitPreparationRouting,dynamic,DYN.09 — Підготовка до візиту та маршрутизація,Підготовка пацієнта до візиту та маршрутизація до відповідного фахівця.,9,8,previews/svg/DYN-09-VisitPreparationRouting.svg,previews/png/DYN-09-VisitPreparationRouting.png
36,DYN-10-FollowUpReminders,dynamic,DYN.10 — Повторний супровід і нагадування,"Плановий супровід, повторні опитування, вимірювання й контроль прострочених дій.",10,9,previews/svg/DYN-10-FollowUpReminders.svg,previews/png/DYN-10-FollowUpReminders.png
37,DYN-11-AlgorithmPublishing,dynamic,"DYN.11 — Формалізація, тестування та публікація алгоритму","Перетворення вихідного документа на перевірену, погоджену та опубліковану версію алгоритму.",11,10,previews/svg/DYN-11-AlgorithmPublishing.svg,previews/png/DYN-11-AlgorithmPublishing.png
38,DYN-12-FhirEhrSync,dynamic,DYN.12 — Обмін із МІС / EHR через FHIR,Контрольований обмін структурованими клінічними даними з МІС/EHR.,7,6,previews/svg/DYN-12-FhirEhrSync.svg,previews/png/DYN-12-FhirEhrSync.png
39,DYN-13-PauseResume,dynamic,DYN.13 — Призупинення та відновлення сесії,Безпечне призупинення та відновлення незавершеної сесії без втрати версії алгоритму й контексту.,10,12,previews/svg/DYN-13-PauseResume.svg,previews/png/DYN-13-PauseResume.png
40,C4-01-ProductionDeployment,deployment,C4.01 — Виробниче гібридне розгортання,"Виробниче гібридне розгортання з DMZ, прикладним кластером, приватним кластером даних, моніторингом і зовнішніми сервісами.",48,9,previews/svg/C4-01-ProductionDeployment.svg,previews/png/C4-01-ProductionDeployment.png
41,C4-02-OfflineClinicDeployment,deployment,C4.02 — Локальний контур закладу з обмеженим зв'язком,Локальний edge-контур закладу для критичних функцій при обмеженому або нестабільному зовнішньому зв'язку.,26,2,previews/svg/C4-02-OfflineClinicDeployment.svg,previews/png/C4-02-OfflineClinicDeployment.png
